Location,Freq.,Band,Station Name,For.,Call Sign,Power,P. Unit
Pembroke,96.7,FM,Pure Country 96 7,c,CHVR-FM,100,kW
Pembroke,99.9,FM,Jump 106 9,p,CKQB-FM-1,7.5,kW
Pembroke,100.7,FM,CHRI,g,CHRI-FM-2,22,w
Pembroke,104.9,FM,my FM,p,CIMY-FM,34,kW
Penetanguishene,88.1,FM,CFRH,F,CFRH-FM,40,kW
Penetanguishene,89.7,FM,CBC Radio One,1,CBCM-FM,1.76,kW
Penetanguishene,96.5,FM,IRC Première,A,CJBC-3-FM,28.311,kW
Perth,88.1,FM,Lake 88,p,CHLK-FM,5.4,kW
Peterborough,89.3,FM,Life 100.3,g,CJLF-FM-2,500,w
Peterborough,90.5,FM,freq 90.5,p,CJMB-FM,175,w
Peterborough,92.7,FM,Trent Radio,o,CFFF-FM,700,w
Peterborough,96.7,FM,Oldies 96.7,m,CJWV-FM,7,kW
Peterborough,98.7,FM,CBC Radio One,1,CBCP-FM,12.438,kW
Peterborough,99.7,FM,Energy 99 7,p,CKPT-FM,11,kW
Peterborough,100.5,FM,100.5 Fresh Radio,p,CKRU-FM,15,kW
Peterborough,101.5,FM,101.5 The Wolf,p,CKWF-FM,15.2,kW
Peterborough,103.9,FM,CBC Music,2,CBBP-FM,12.438,kW
Peterborough,105.1,FM,Pure Country 105,c,CKQM-FM,7.5,kW
Peterborough,106.3,FM,IRC Première,A,CJBC-5-FM,12.438,kW
Pickle Lake,96.5,FM,CJTL,e g,CJTL-FM,50,w
Pickle Lake,105.1,FM,CBC Radio One,1,CBQP-FM,83,w
Pigeon River,97.3,FM,Superior Information Radio,i,CIPR-FM,2,w
Pikangikum,91.9,FM,Wahsa,o,CIDE-FM-12,10,w
Pikangikum,100.3,FM,CBC Radio One,1,CBQU-FM,34,w
Point Pelee National Park,90.7,FM,Point Pelee National Park,i,CJPP-FM,50,w
Poplar Hill,90.1,FM,WRN,o,CFBY-FM,10,w
Poplar Hill,91.9,FM,Wahsa,o,CIDE-FM-13,10,w
Prescott,107.9,FM,107 9 Coast FM,p,CKPP-FM,4.2,kW
Prince Edward,99.3,FM,99.3 County FM,o,CJPE-FM,3,kW
Quinte West,107.1,FM,Rock 107,p,CJTN-FM,15,kW
Red Lake,90.5,FM,CBC Radio One,1,CBEA-FM,82,w
Red Lake,97.1,FM,CKDR,p,CKDR-5-FM,420,w
Renfrew,96.1,FM,my FM,p,CHMY-FM,7.1,kW
Renfrew,98.7,FM,Valley Heritage Radio,s,CJHR-FM,20,kW
Rolphton,1400,AM,IRC Première,A,CBOF-4,40,w
Sachigo Lake,90.1,FM,WRN,o,CFEY-FM,1,w
Sachigo Lake,91.9,FM,Wahsa,o,CIDE-FM-14,10,w
Sandy Lake,91.9,FM,Wahsa,o,CIDE-FM-15,10,w
Sandy Lake,101.1,FM,CBC Radio One,1,CBQV-FM,37,w
Sarnia,90.3,FM,CBC Radio One,1,CBEG-FM,1.8,kW
Sarnia,99.9,FM,99.9 The Fox,p,CFGX-FM,26,kW
Sarnia,101.5,FM,IRC Première,A,CBEF-3-FM,1.886,kW
Sarnia,103.9,FM,CHOK,c,CHOK-1-FM,200,w
Sarnia,106.3,FM,Cool 106.3,p,CHKS-FM,50,kW
Sarnia,1070,AM,CHOK,c,CHOK,10,kW
Saugeen Shores,90.9,FM,my FM,p,CIYN-FM-2,3.1,kW
Saugeen Shores,97.9,FM,98 The Beach,m,CFPS-FM,8.3,kW
Sault Ste. Marie,88.1,FM,IRC Première,A,CBON-FM-18,3.59,kW
Sault Ste. Marie,89.5,FM,CBC Radio One,1,CBSM-FM,46,kW
Sault Ste. Marie,92.9,FM,,i,CFWJ-FM,50,w
Sault Ste. Marie,97.3,FM,CHTI,i,CHIM-FM-6,50,w
Sault Ste. Marie,100.5,FM,Kiss 100.5,p,CHAS-FM,13.9,kW
Sault Ste. Marie,104.3,FM,Country 104.3,c,CJQM-FM,100,kW
Sault Ste. Marie,106.5,FM,KFM,g,CJTK-FM-8,2.2,kW
Savant Lake,104.9,FM,CBC Radio One,1,CBQL-FM,135,w
Schreiber new,90.9,FM,CBC Radio One,1,CBLB-FM,130,w
Schreiber,1340,AM,CBC Radio One,1,CBLB,40,w
Seine River,89.9,FM,WRN,o,CHIX-FM,10,w
Shelburne,102.5,FM,CBC Radio One,1,CBLA-FM-4,6,kW
Shelburne,104.9,FM,Country 105,c,CFDC-FM,36.2,kW
Simcoe,98.9,FM,my FM,p,CHCD-FM,50,kW
Simcoe,99.7,FM,Oldies 99.7,m,CKNC-FM,18,kW
Sioux Lookout,89.9,FM,WRN,o,CKWT-FM,224,w
Sioux Lookout,91.9,FM,Wahsa,o,CIDE-FM,10,w
Sioux Lookout,95.3,FM,CBC Radio One,1,CBLS-FM,500,w
Sioux Lookout,97.1,FM,CKDR,p,CKDR-2-FM,166,w
Sioux Lookout,104.5,FM,Q104,p,CKQV-FM-3,49,w
Sioux Narrows,91.1,FM,,o,CKSX-FM,50,w
Sioux Narrows,95.7,FM,CBC Radio One,1,CBQS-FM,1.3,kW
Slate Falls,90.1,FM,WRN,o,CHBJ-FM,10,w
Slate Falls,91.9,FM,Wahsa,o,CIDE-FM-16,10,w
Smiths Falls,92.3,FM,Jack 92 3,p,CJET-FM,17,kW
Smiths Falls,101.1,FM,Country 101 1,c,CKBY-FM,100,kW
Smooth Rock Falls,94.7,FM,CKGN,F,CKGN-FM-1,250,w
Smooth Rock Falls,101.9,FM,CHTI,i,VF2619,2,w
Spring Bay,104.9,FM,KFM,g,CJTK-FM-10,530,w
St. Catharines,93.3,FM,St. Lawrence Seaway M. Co.,i,CFBN-FM,50,w
St. Catharines,97.7,FM,97 7 HITZ FM,p,CHTZ-FM,50,kW
St. Catharines new,97.7,HD1,,,CHTZ-HD,50,kW
St. Catharines,103.7,FM,CFBU,o,CFBU-FM,250,w
St. Catharines,105.7,FM,105.7 EZ Rock,m,CHRE-FM,50,kW
St. Catharines,610,AM,610 CKTB,n,CKTB,10/5,kW
St. Catharines,1220,AM,CFAJ 1220,m,CFAJ,10,kW
St. Thomas,90.1,FM,Faith Baptist Church,g,VF8016,1,w
St. Thomas,94.1,FM,my FM,p,CKZM-FM,4.37,kW
St. Thomas,103.1,FM,103 1 Fresh Radio,p,CFHK-FM,60,kW
Stratford,107.1,FM,107 1  Juice FM,m,CJCS-FM,4,kW
Stratford,107.7,FM,107 7 2Day FM,p,CHGK-FM,6,kW
Strathroy,105.7,FM,my FM,p,CJMI-FM,1.75,kW
Sudbury,90.1,FM,CBC Music,2,CBBS-FM,50,kW
Sudbury,90.9,FM,Ici musique,Q,CBBX-FM,50,kW
Sudbury,91.7,FM,Pure Country 91 7,c,CICS-FM,50,kW
Sudbury,92.7,FM,92 7 Rock,p,CJRQ-FM,100,kW
Sudbury,93.5,FM,Hot 93 5,p,CIGM-FM,100,kW
Sudbury,95.5,FM,KFM,g,CJTK-FM,8.1,kW
Sudbury,96.7,FM,CKLU,o,CKLU-FM,2,kW
Sudbury,98.1,FM,IRC Première,A,CBON-FM,50,kW
Sudbury,98.9,FM,Le Loup 98.9,F p,CHYC-FM,3.82,kW
Sudbury,99.9,FM,CBC Radio One,1,CBCS-FM,50,kW
Sudbury,101.7,FM,CHTI,i,CKJC-FM,50,w
Sudbury,102.9,FM,,i,CKBB-FM,33,w
Sudbury,103.9,FM,Rewind 103.9,m,CHNO-FM,100,kW
Sudbury,105.3,FM,Kiss 105.3,p,CJMX-FM,100,kW
Sunderland,89.9,FM,KX 96,c,CJKX-FM-1,5,kW
Sundridge,98.3,FM,KFM,g,CJTK-FM-9,540,w
Temagami,92.1,FM,CHTI,i,CJTI-FM,1,w
Temagami,106.1,FM,CBC Radio One,1,CBCS-FM-1,50,w
Temiskaming Shores,99.7,FM,IRC Première,A,CBON-FM-2,780,w
Temiskaming Shores,100.9,FM,KFM,g,CJTK-FM-6,530,w
Temiskaming Shores,102.3,FM,CBC Radio One,1,CBCY-FM,780,w
Temiskaming Shores,104.5,FM,CJTT FM,p,CJTT-FM,10,kW
Thamesville,104.3,FM,The Buck,e,CKBK-FM,50,w
Thunder Bay,88.3,FM,CBC Radio One,1,CBQT-FM,23.73,kW
Thunder Bay,89.3,FM,IRC Première,A,CBON-FM-20,16.5,kW
Thunder Bay,90.5,FM,T. B. Information Radio,i,CKSI-FM,50,w
Thunder Bay,91.5,FM,91 5 CKPR,p,CKPR-FM,100,kW
Thunder Bay,94.3,FM,Rock 94,p,CJSD-FM,93,kW
Thunder Bay,95.1,FM,UCB Canada,g,CJOA-FM,250,w
Thunder Bay,97.1,FM,Superior Information Radio,i,CITB-FM,8,w
Thunder Bay,98.1,FM,CJTL,e g,CJTL-FM-1,50,w
Thunder Bay,99.9,FM,99 9 The Bay,p,CJUK-FM,250,w
Thunder Bay,101.7,FM,CBC Music,2,CBQ-FM,25,kW
Thunder Bay,102.7,FM,LU Radio,o,CILU-FM,134,w
Thunder Bay/Shuniah Tnsp.,103.5,FM,Energy 103 104,p,CKED-FM,10,w
Thunder Bay,105.3,FM,Country 105,c,CKTG-FM,100,kW
Tillsonburg,88.7,FM,CBC Radio One,1,CBCL-FM-1,1.28,kW
Tillsonburg,101.3,FM,Easy 101 3,m,CKOT-FM,26,kW
Tillsonburg,107.3,FM,Country 107.3,c,CJDL-FM,7.8,kW
Timmins,92.1,FM,92 1 Rock,p,CJQQ-FM,40,kW
Timmins,93.1,FM,93 1 Moose FM,p,CHMT-FM,16.4,kW
Timmins,94.3,FM,,i,CKTT-FM,50,w
Timmins,96.1,FM,CBC Radio One,1,CBCJ-FM,11,kW
Timmins,97.1,FM,IRC Première,A,CBON-FM-25,11,kW
Timmins,99.3,FM,Kiss 99.3,p,CKGB-FM,40,kW
Timmins,102.3,FM,CHTI,i,CHIM-FM,32,w
Timmins,104.1,FM,Le Loup 104.1,F,CHYK-FM,2.8,kW
Timmins,105.5,FM,KFM,g,CJTK-FM-5,1.4,kW
Timmins,106.7,FM,WRN,e,CJWT-FM,50,w
Tobermory new,91.9,FM,92 The Wave,m,,5.234,kW
Toronto,88.1,FM,Indie 88,p,CIND-FM,12,kW
Toronto,88.1,HD1,Indie 88,p,CIND-HD,12,kW
Toronto,88.1,HD2,Active Rock,p,CIND-HD,12,kW
Toronto,88.9,FM,Red FM,e,CIRV-FM,4.18,kW
Toronto,88.9,HD1,Red FM,e,CIRV-HD,4.18,kW
Toronto,88.9,HD2,,e,CIRV-HD,4.18,kW
Toronto,88.9,HD3,,e,CIRV-HD,4.18,kW
Toronto,88.9,HD4,Red FM,e,CIRV-HD,4.18,kW
Toronto,89.5,FM,CIUT,o,CIUT-FM,15,kW
Toronto,89.5,HD1,,,CIUT-HD,15,kW
Toronto,90.3,FM,Ici musique,Q,CJBC-FM,10,kW
Toronto,90.3,HD1,Ici musique,Q,CJBC-HD,10,kW
Toronto,90.3,HD2,IRC Première,A,CJBC-HD,10,kW
Toronto,91.1,FM,Jazz FM 91,s,CJRT-FM,40,kW
Toronto,91.9,FM,CHIN,e,CHIN-1-FM,5,kW
Toronto,92.5,FM,Kiss 92 5,p,CKIS-FM,13,kW
Toronto,92.5,HD1,Kiss 92 5,p,CKIS-HD,13,kW
Toronto,92.5,HD2,680 News,n,CKIS-HD,13,kW
Toronto,92.5,HD3,Sportsnet 590 The Fan,n,CKIS-HD,13,kW
Toronto,93.5,FM,Flow 93 5,p,CFXJ-FM,3.706,kW
Toronto,94.1,FM,CBC Music,2,CBL-FM,38,kW
Toronto,95.9,FM,KX 96,c,CJKX-FM-2,220,w
Toronto,96.3,FM,Classical FM,s,CFMZ-FM,60,kW
Toronto,96.3,HD1,Classical FM,s,CFMZ-HD,60,kW
Toronto,96.3,HD2,Zoomer Radio,m,CFMZ-HD,60,kW
Toronto,96.3,HD3,,,CFMZ-HD,60,kW
Toronto,96.7,FM,Zoomer Radio,m,CFZM-1-FM,82,w
Toronto,96.9,FM,Radio Humber,o,CKHC-FM,60,w
Toronto,97.3,FM,boom 97 3,p,CHBM-FM,28.9,kW
Toronto,98.1,FM,98.1 CHFI,m,CHFI-FM,44,kW
Toronto,98.7,FM,G98 7,p,CKFG-FM,1,kW
Toronto,99.1,FM,CBC Radio One,1,CBLA-FM,98,kW
Toronto new,99.1,HD1,CBC Radio One,1,CBLA-HD,98,kW
Toronto,99.9,FM,99 9 Virgin Radio,p,CKFM-FM,40,kW
Toronto,99.9,HD1,99 9 Virgin Radio,p,CKFM-HD,12.8,kW
Toronto,99.9,HD2,NewsTalk 1010,n,CKFM-HD,12.8,kW
Toronto,99.9,HD3,TSN 1050,n,CKFM-HD,12.8,kW
Toronto,99.9,HD4,Pure Country,c,CKFM-HD,12.8,kW
Toronto,100.7,FM,CHIN,e,CHIN-FM,8.5,kW
Toronto,101.3,FM,CMR,e,CJSA-FM,850,w
Toronto,101.3,HD1,CMR,e,CJSA-HD,850,w
Toronto,101.3,HD2,Tamil Diversity Radio,e,CJSA-HD,850,w
Toronto,101.3,HD3,Hindi Diversity Radio,e,CJSA-HD,850,w
Toronto,101.3,HD4,Punjabi Diversity Radio,e,CJSA-HD,850,w
Toronto,102.1,FM,102.1 The Edge,p,CFNY-FM,35.4,kW
Toronto/Scarborough,102.7,FM,East FM,e,CJRK-FM,1.2,kW
Toronto,103.9,FM,Proud FM,s,CIRR-FM,225,w
Toronto,104.5,FM,CHUM 104 5,p,CHUM-FM,40,kW
Toronto,105.1,FM,CHOQ FM,F,CHOQ-FM,1.5,kW
Toronto/North York,105.5,FM,Vibe 105,o,CHRY-FM,250,w
Toronto,106.5,FM,elmnt fm,e,CFPT-FM,2.95,kW
Toronto,106.5,HD1,elmnt fm,e,CFPT-HD,2.95,w
Toronto,107.1,FM,Q107,p,CILQ-FM,40,kW
Toronto,590,AM,Sportsnet 590 The Fan,n,CJCL,50,kW
Toronto,640,AM,Global N. R. 640 Toronto,n,CFMJ,50,kW
Toronto,680,AM,680 News,n,CFTR,50,kW
Toronto,740,AM,Zoomer Radio,m,CFZM,50,kW
Toronto,860,AM,IRC Première,A,CJBC,50,kW
Toronto,1010,AM,NewsTalk 1010,n,CFRB,50,kW
Toronto,1050,AM,TSN 1050,n,CHUM,50,kW
Toronto,1280,AM,The Scope,o,CJRU,99,w
Toronto,1430,AM,AM 1430,e,CHKT,50,kW
Toronto,1540,AM,CHIN,e,CHIN,50/30,kW
Toronto,1610,AM,CHHA 1610,e,CHHA,6.25,kW
Toronto,1690,AM,CHTO AM,e,CHTO,6/1,kW
Toronto,6070,SW,NewsTalk 1010,n,CFRX,1,kW
Trent Hills,93.7,FM,CKOL,o,CKOL-FM,500,w
Uxbridge,105.5,FM,105.5 Hits FM,p,CIUX-FM,900,w
Vars,107.9,FM,Carlsbad Vars Radio,o,CJRO-FM-1,1,w
Vermilion Bay,103.3,FM,Q104,p,CKQV-FM,1.6,kW
Wahgoshig Lake,89.5,FM,WRN,e,CKWG-FM,17,w
Wallaceburg,99.1,FM,99 1 CKXS,p,CKXS-FM,3,kW
Walpole Island,98.3,FM,CFRZ,e,CFRZ-FM,50,w
Wapekeka,91.9,FM,Wahsa,e,CIDE-FM-17,10,w
Wasaga Beach,97.7,FM,97 7 Max FM,p,CHGB-FM,700,w
Wawa,88.3,FM,CBC Radio One,1,CBLJ-FM,4.807,kW
Wawa,90.7,FM,IRC Première,A,CBON-FM-27,890,w
Wawa,107.1,FM,Jjam FM,p,CJWA-FM,210,w
Weagamow Lake,91.9,FM,Wahsa,e,CIDE-FM-18,10,w
Webequie,91.9,FM,Wahsa,e,CIDE-FM-20,8,w
Welland,89.1,FM,Country 89,c,CKYY-FM,4.25,kW
Welland,91.7,FM,91.7 Giant FM,p,CIXL-FM,50,kW
West Nipissing,97.1,FM,Le Loup 97.1,F p,CHYQ-FM,6.5,kW
West Nipissing,99.3,FM,99 3 The Moose,p,CFSF-FM,1.35,kW
Whitchurch-Stouffville,102.9,FM,Whistle Radio,o,CIWS-FM,50,w
White River,97.7,FM,CBC Radio One,1,CBLW-FM,50,w
White River,100.7,FM,CFNO,p,CFNO-FM-8,20,w
Whitesand,89.9,FM,,e,CHWR-FM,10,w
Whitney,98.5,FM,CBC Radio One,1,CBCW-FM,162,w
Wilno,104.5,FM,CHCR,o,CHCR-FM-1,35,w
Windsor,88.7,FM,89X,p,CIMX-FM,100,kW
Windsor,89.9,FM,CBC Music,2,CBE-FM,100,kW
Windsor,90.5,FM,UCB Canada,g,CJAH-FM,7.5,kW
Windsor,93.9,FM,93 9 The River,p,CIDR-FM,100,kW
Windsor,95.9,FM,Country 95 9,c,CJWF-FM,11.8,kW
Windsor,97.5,FM,CBC Radio One,1,CBEW-FM,19,kW
Windsor,99.1,FM,CJAM,o,CJAM-FM,2.084,kW
Windsor,100.7,FM,Cool FM,p,CKUE-FM-1,9,kW
Windsor,102.3,FM,CINA Radio,e,CINA-FM,5,kW
Windsor,103.9,FM,Ici musique,Q,CJBC-FM-1,6,kW
Windsor,105.5,FM,IRC Première,A,CBEF-2-FM,2.4,kW
Windsor,580,AM,AM 580,m,CKWW,500,w
Windsor,800,AM,AM 800,n,CKLW,50,kW
Windsor,1550,AM,IRC Première,A,CBEF,10,kW
Wingham,94.5,FM,Classic Rock 94 5,p,CIBU-FM,75,kW
Wingham,100.9,FM,CBC Radio One,1,CBLA-FM-3,30,kW
Wingham,101.7,FM,101.7 The One,p,CKNX-FM,100,kW
Wingham,920,AM,CKNX,c,CKNX,10/1,kW
Woodstock,94.3,FM,Hope FM,g,CJFH-FM,37,w
Woodstock,103.9,FM,Country 104,c,CKDK-FM,51,kW
Woodstock,104.7,FM,Heart FM,p,CIHR-FM,20,kW
Woodstock,104.7,HD1,Heart FM,p,CIHR-HD,20,kW
Woodstock,104.7,HD2,Heart FM HD2 Rewind,p,CIHR-HD,20,kW
Wunnummin Lake,91.9,FM,Wahsa,e,CIDE-FM-19,10,w
