,call sign,owner,format,lat,long,station name,power,p. unit,frequency,city of licence,n_stations,language,genre
245,CBON-FM-29,Ici Radio-Canada Première,public news/talk (French),48.75,-86.367,IRC Première,3.862,kW,102.3 FM,Marathon,3,1,public news/talk
246,CBLM-FM,CBC Radio One,public news/talk,48.75,-86.367,CBC Radio One,3.935,kW,107.5 FM,Marathon,3,1,public news/talk
247,CFMS-FM,Bhupinder Bola (OBCI),English adult contemporary/Multilingual,43.87667,-79.26333,105.9 The Region,3,kW,105.9 FM,Markham,1,1,english adult contemporary/multilingual
248,CBON-12,Ici Radio-Canada Première,public news/talk (French),46.317,-78.7,IRC Première,40,w,1090 AM,Mattawa,3,1,public news/talk
249,CBLO,CBC Radio One,public news/talk,46.317,-78.7,CBC Radio One,40,w,1240 AM,Mattawa,3,1,public news/talk
250,CJTK-FM-4,Eternacom,Christian radio,46.317,-78.7,KFM,50,w,93.9 FM,Mattawa,3,1,christian radio
251,CBOD-FM,CBC Radio One,public news/talk,45.233,-77.933,CBC Radio One,110,w,89.3 FM,Maynooth,2,1,public news/talk
252,CKJJ-FM-5,United Christian Broadcasters Canada,Christian radio,45.233,-77.933,UCB Canada,32,w,94.7 FM,Maynooth,2,1,christian radio
253,CHYF-FM,Anong Migwans Beam (GIMA Radio),First Nations community radio,45.833,-82.167,Gimaa Radio,50,w,88.9 FM,M'Chigeeng First Nation,1,1,first nations community radio
254,CJGB-FM,Evanov Communications,adult contemporary,44.58,-80.73,Jewel 99 3,100,w,99.3 FM,Meaford,1,1,adult contemporary
255,CICZ-FM,Bell Media Radio,classic hits,44.75,-79.883,104.1 The Dock,20,kW,104.1 FM,Midland,1,1,classic hits
256,CJML-FM,My Broadcasting Corporation,adult contemporary,43.50833,-79.88333,my FM,2,kW,101.3 FM,Milton,1,1,adult contemporary
257,CIDE-FM-11,Wawatay,First Nations community radio,51.235,-90.23889,Wahsa,10,w,91.9 FM,Mishkeegogamang,2,1,first nations community radio
258,CBQN-FM,CBC Radio One,public news/talk,51.235,-90.23889,CBC Radio One,81,w,104.5 FM,Mishkeegogamang,2,1,public news/talk
259,CKNT,Elliot Kerr,news/talk,43.6,-79.65,News Talk Sauga 960,2/0.28,kW,960 AM,Mississauga,3,1,news/talk
260,CJMR,Prime Time Radio,multilingual,43.6,-79.65,CJMR 1320,10,kW,1320 AM,Mississauga,3,1,multilingual
261,CINA,Neeti P. Ray (OBCI),multilingual,43.6,-79.65,CINA 1650,5/0.68,kW,1650 AM,Mississauga,3,1,multilingual
262,CJFI-FM,Moose River Broadcasting Association,First Nations community radio,51.25833,-80.6,The Island,50,w,107.1 FM,Moose Factory,1,1,first nations community radio
263,VF2372,Lac Seul Radio,community radio LPFM,51.27222,-80.64306,CKZY 90.3,8,w,89.9 FM,Moosonee,2,1,community radio lpfm
264,CBEY-FM,CBC Radio One,public news/talk,51.27222,-80.64306,CBC Radio One,135,w,99.9 FM,Moosonee,2,1,public news/talk
265,CIWN-FM,Saugeen Community Radio Inc.,community radio,43.98167,-80.73667,The River,1.88,kW,88.7 FM,Mount Forest,1,1,community radio
266,CIDE-FM-9,Wawatay,First Nations community radio,53.367,-91.85,Wahsa,10,w,91.9 FM,Muskrat Dam,2,1,first nations community radio
267,CFMD-FM,Wawatay,First Nations community radio,53.367,-91.85,WRN,1,w,105.1 FM,Muskrat Dam,2,1,first nations community radio
268,CFNP-FM,Wawatay,First Nations community radio,48.85,-93.58306,WRN,10,w,90.1 FM,Naicatchewenin,1,1,first nations community radio
269,CBLN-FM,CBC Radio One,public news/talk,50.0,-86.733,CBC Radio One,50,w,98.1 FM,Nakina,2,1,public news/talk
270,CFNO-FM-7,Dougall Media,adult contemporary,50.0,-86.733,CFNO,49,w,107.1 FM,Nakina,2,1,adult contemporary
