,call sign,owner,format,station name,for.,power,p. unit,frequency,city of licence
67,CJDV-FM,Corus Entertainment,active rock,107 5 Dave Rocks,p,6,kW,107.5 FM,Cambridge
68,CKOL-FM,Campbellford Area Radio Association,community radio,CKOL,o,500,w,93.7 FM,Campbellford
69,CJPS-FM,Wawatay,First Nations community radio,WRN,e,10,w,89.9 FM,Cat Lake
70,CIDE-FM-3,Wawatay,First Nations community radio,Wahsa,e,10,w,91.9 FM,Cat Lake
71,CICW-FM,Centre Wellington Community Radio,community radio,The Grand at 101,o,2.25,kW,101.1 FM,Centre Wellington
72,CBCU-FM,CBC Radio One,public news/talk,CBC Radio One,1,345,w,89.9 FM,Chapleau
73,CBON-FM-28,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,345,w,91.9 FM,Chapleau
75,CHAP-FM,Formation Plus,community-owned rebroadcaster of CHYC-FM Sudbury,Le Loup 98.9,F p,40,w,95.9 FM,Chapleau
76,CJWA-FM-1,Labbe Media,adult contemporary,Jjam FM,p,111,w,100.7 FM,Chapleau
77,CFCO,Blackburn Radio,country,CFCO,c,10/6,kW,630 AM,Chatham
78,CBEE-FM,CBC Radio One,public news/talk,CBC Radio One,1,1.43,kW,88.1 FM,Chatham
79,CKGW-FM,United Christian Broadcasters Canada,Christian radio,UCB Canada,g,18.7,kW,89.3 FM,Chatham
80,CFCO-1-FM,Blackburn Radio,country,CFCO,c,250,w,92.9 FM,Chatham
81,CKSY-FM,Blackburn Radio,hot adult contemporary,94 3 CKSY,p,50,kW,94.3 FM,Chatham
82,CKUE-FM,Blackburn Radio,classic hits,Cool FM,p,42,kW,95.1 FM,Chatham
83,CKUN-FM,Chimnissing Communications,First Nations community radio,Nish 101.3,e,900,w,101.3 FM,Christian Island
84,CHRC-FM,Evanov Communications,adult contemporary,Jewel 92 5,m,333,w,92.5 FM,Clarence-Rockland
85,CHJJ-FM,United Christian Broadcasters Canada,Christian radio,UCB Canada,g,250,w,90.7 FM,Cobourg
86,CKSG-FM,My Broadcasting Corporation,hot adult contemporary,my FM,p,15.5,kW,93.3 FM,Cobourg
87,CFMX-FM,ZoomerMedia,classical,Classical FM,s,86.7,kW,103.1 FM,Cobourg
88,CHUC-FM,My Broadcasting Corporation,classic hits,Classic Rock 107.9,p,20,kW,107.9 FM,Cobourg
89,CHPB-FM,Vista Broadcast Group,adult contemporary,Moose 98.1,p,50,w,98.1 FM,Cochrane
90,CFCJ-FM,Cochrane Christian Radio,Christian radio,CFCJ,g,37,w,102.1 FM,Cochrane
92,CKCB-FM,Corus Entertainment,adult contemporary,95 1 The Peak,p,350,w,95.1 FM,Collingwood
93,CFMO-FM,ZoomerMedia,pop standards,Classical FM,s,23,kW,102.9 FM,Collingwood
94,CKID-FM,Wawatay,First Nations community radio,WRN,e,10,w,89.9 FM,Constance Lake
95,CHRI-FM-1,Christian Hit Radio Inc.,Christian radio,CHRI,g,50,w,88.1 FM,Cornwall
96,CHOD-FM,Radio communautaire Cornwall-Alexandria,community radio (French),FM 92.1,F o,45.6,kW,92.1 FM,Cornwall
97,CBOC-FM,CBC Radio One,public news/talk,CBC Radio One,1,3,kW,95.5 FM,Cornwall
98,CBOF-FM-6,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,3,kW,98.1 FM,Cornwall
99,CJSS-FM,Corus Entertainment,classic hits,boom 101 9,p,3.2,kW,101.9 FM,Cornwall
100,CFLG-FM,Corus Entertainment,adult contemporary,104 5 Fresh Radio,p,28.24,kW,104.5 FM,Cornwall
103,CBLA-FM-1,CBC Radio One,public news/talk,CBC Radio One,1,740,w,90.5 FM,Crystal Beach
104,CBCD-FM-1,CBC Radio One,public news/talk,CBC Radio One,1,50,w,97.9 FM,Deep River
105,CKDL-FM,Wawatay,First Nations community radio,WRN,e,1,w,90.1 FM,Deer Lake
106,CIDE-FM-4,Wawatay,First Nations community radio,Wahsa,e,10,w,91.9 FM,Deer Lake
107,CKDR-FM,Acadia Broadcasting,adult contemporary,CKDR,p,39,kW,92.7 FM,Dryden
110,CBQH-FM,CBC Radio One,public news/talk,CBC Radio One,1,1.3,kW,100.9 FM,Dryden
111,CKSB-6-FM,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,1.29,kW,102.7 FM,Dryden
112,CKQV-FM-1,Norwesto Communications,CHR,Q104,p,1.9,kW,104.3 FM,Dryden
113,CBON-FM-11,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,50,w,97.9 FM,Dubreuilville
114,CBOI-FM,CBC Radio One,public news/talk,CBC Radio One,1,50,w,95.5 FM,Ear Falls
115,CKDR-FM-4,Northwoods Broadcasting,adult contemporary,CKDR,p,50,w,97.5 FM,Ear Falls
116,CBCG-FM,CBC Radio One,public news/talk,CBC Radio One,1,116,w,89.7 FM,Elk Lake
117,CBEC-FM,CBC Radio One,public news/talk,CBC Radio One,1,264,w,90.3 FM,Elliot Lake
118,CKNR-FM,Vista Broadcast Group,adult contemporary,The Moose 94.1,p,90,kW,94.1 FM,Elliot Lake
119,CKNR-FM-1,Vista Broadcast Group,adult contemporary,The Moose 94.1,p,50,w,98.7 FM,Elliot Lake
120,CBON-FM-5,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,2.64,kW,101.7 FM,Elliot Lake
121,CJTK-FM-3,Eternacom,Christian radio,KFM,g,865,w,102.5 FM,Elliot Lake
122,CJBB-FM,Boyd Woods,community radio,The Train,p,2.94,kW,103.1 FM,Englehart
